id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1721000,TO,Norte,0,0,0,1,0,3,4,1,4
1721109,TO,Norte,1,2,3,0,5,0,7,8,9
1721208,TO,Norte,1,2,1,3,5,0,7,8,9
1721257,TO,Norte,0,1,2,2,3,4,3,2,2
1721307,TO,Norte,1,1,3,0,5,0,7,8,9
1722081,TO,Norte,1,2,3,0,5,0,7,8,9
1722107,TO,Norte,0,0,0,1,0,2,6,6,1
2100055,MA,Nordeste,1,0,1,3,1,3,4,1,4
2100105,MA,Nordeste,1,2,1,3,5,0,7,8,9
2100154,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100204,MA,Nordeste,1,2,1,3,1,5,2,0,3
2100303,MA,Nordeste,1,2,1,3,1,5,2,0,5
2100402,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100436,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100477,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100501,MA,Nordeste,1,2,1,2,3,4,1,3,6
2100550,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100600,MA,Nordeste,1,2,1,3,1,5,2,0,3
2100709,MA,Nordeste,1,2,1,3,1,5,2,0,5
2100808,MA,Nordeste,1,2,3,0,5,0,7,8,9
2100832,MA,Nordeste,1,2,1,3,1,5,2,0,5
2100873,MA,Nordeste,1,2,1,3,1,5,2,0,5
2100907,MA,Nordeste,1,2,1,3,1,5,2,0,5
2100956,MA,Nordeste,1,2,1,3,1,5,2,0,5
2101004,MA,Nordeste,1,2,1,3,1,5,2,0,5
2101103,MA,Nordeste,1,2,3,0,5,0,7,8,9
2101202,MA,Nordeste,1,2,1,3,1,5,2,0,5
2101251,MA,Nordeste,1,0,1,1,0,2,6,6,1
2101301,MA,Nordeste,1,2,3,0,5,0,7,8,9
2101350,MA,Nordeste,1,2,1,3,1,5,2,0,5
2101400,MA,Nordeste,0,0,1,2,0,3,1,3,6
